name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
シールド付き貨物室,shielded_holds,2,,,,,,,TRUE,,0,0,0,0,data.hullmods.ShieldedCargoHolds,宇宙放射線から貨物を保護するために常にシールドに頼れない艦に一般的に見られます。シールドを調整することで、長距離貨物スキャンを混乱させ、密輸品が検出される確率を減少させるために、いくつかの微調整が必要です。,Improves chance to avoid detection of contraband.,,graphics/hullmods/shielded_cargo_hold.png
サルベージガントリー,repair_gantry,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.campaign.RepairGantry,放棄されたステーション、廃船、浮遊する船体などからのサルベージで得られる資源を、船体のサイズに応じて %s/%s/%s/%s 増加させます。燃料や物資などの一般的な資源の回収にのみ影響し、設計図のような希少アイテムには影響しません。さらに、ボーナスの %s は戦闘後のサルベージに適用されます。,Increases resources gained from salvage.,,graphics/hullmods/repair_gantry.png
フェイズフィールド,phasefield,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.PhaseField,艦は低品質のフェイズフィールドを長時間運用でき、効果的なセンサープロファイルを %s 減少させます。,Reduces fleetwide sensor profile.,,graphics/hullmods/phase_field.png
フラックスシャント,fluxshunt,,,,,,,,TRUE,,0,0,0,0,data.hullmods.FluxShunt,シールドがオンの間、艦は通常の %s の速度でハードフラックスを消散できるようになります。,Allows dissipation of hard flux while shields are up.,,graphics/hullmods/flux_shunt.png
民間グレード船体,civgrade,,,,,,,,TRUE,,0,0,0,0,data.hullmods.CivGrade,センサープロファイルを %s 増加させます。センサー強度を %s 減少させます。,"Increases sensor profile, reduces sensor strength.",,graphics/hullmods/civilian_grade.png
高メンテナンス,high_maintenance,,,,,,,,TRUE,,0,0,0,0,data.hullmods.HighMaintenance,月間メンテナンス供給コストを %s 増加させます。,Increases maintenance cost.,,graphics/hullmods/high_maintenance.png
エネルギー・ボルト・コヒーラー,coherer,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.EnergyBoltCoherer,<tooltip created in the script>,Increases base range of non-beam energy weapons.,,graphics/hullmods/coherer.png
設計妥協,design_compromises,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DesignCompromises,"この船は、競合する設計優先事項のために性能が低下しており、複数の最先端プロジェクトが設計サイクルの遅すぎる段階で統合されています。

船のフラックス排出量と容量、さらには名目上の基本値も %s 減少します。

弾道兵器の射程は %s 減少し、ミサイル兵器の発射速度は %s 減少し、エネルギー兵器のフラックス生成は %s 増加します。

その一方で、追加のナノフォージ容量をより簡単にオンライン化できるため、すでに戦闘機用バイを持っているにもかかわらず %s を設置でき、運用可能な戦闘機用バイの数を %s に増加させます。","Reduces missile and ballistic weapon range, and flux dissipation / capacity.",,graphics/hullmods/design_compromises.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
モノフィラメント牽引ケーブル,tow_cable,,,,hide_in_codex,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.campaign.TowCable,"艦隊内で最も遅い船の最大燃焼レベルを1上げます。複数の牽引船を使用して同じ船を1以上速めることはできません。

戦闘では使用できません。",Increases burn level of another ship.,,graphics/hullmods/monofilament_cable.png
ドライブフィールドスタビライザー,drive_field_stabilizer,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DriveFieldStabilizer,"艦隊のドライブバブルを安定させ、艦隊の最大燃焼を %s 増加させます。複数のスタビライザーの効果は累積します。

船のセンサープロファイルを %s 増加させます。",Reduces fleetwide fuel use.,,graphics/hullmods/augmented_drive_field.png
地上支援パッケージ,ground_support,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.GroundSupport,地上防衛のための近接支援兵器と対策。艦隊内の海兵隊員の総数まで、惑星襲撃の実効力を %s 増加させます。,Improves effectiveness of raids.,,graphics/hullmods/ground_support.png
高度な地上支援,advanced_ground_support,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AdvancedGroundSupport,地上防衛のための近接支援兵器と対策。艦隊内の海兵隊員の総数まで、惑星襲撃の実効力を %s 増加させます。,Improves effectiveness of raids.,,graphics/hullmods/ground_support_adv.png
デリケートな機械,delicate,,,,,,,,TRUE,,0,0,0,0,data.hullmods.DelicateMachinery,"この船のシステムは過剰なメンテナンスを必要とし、長時間の戦闘の厳しさに耐えられません。

ピークパフォーマンスタイムが終了した後の戦闘中のCR減少率を %s 増加させます。",Increases CR decay rate after peak time runs out.,,graphics/hullmods/delicate_machinery.png
重火器統合,hbi,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.HeavyBallisticsIntegration,大型弾道兵器の弾薬ポイントコストを %s 減少させます。,Reduces ordnance point cost of large ballistic weapons.,,graphics/hullmods/ballistics_integration.png
広大なハンガー,vast_hangar,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.VastHangar,"この船は巨大なハンガーと、それに見合った小規模な支援艦隊を持っています。

改造ハンガーによって追加される戦闘機用バイの数は %s 増加し、その性能は専用の戦闘機用バイと同等になります - 船の展開コストに対するペナルティや修正もすべて無効化されます。",Increases the effect of Converted Hangar and removes its penalties.,,graphics/hullmods/vast_hangar.png
頑丈な構造,rugged,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.RuggedConstruction,"d-modのほとんどの悪影響を %s 減少させます。戦闘中に無効化または破壊された場合、船は新しいd-modを回避する %s の確率を持ち、戦闘後にほぼ常に回収可能です。

さらに、展開からの回復にかかる補給コスト - そして船が無効化された場合の修理にかかるコスト - が %s 減少します。",Reduces impact of d-mods; ship almost always recoverable if lost.,,graphics/hullmods/rugged_construction.png
自動化船,automated,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.Automated,この船は完全に自動化されており、人間の乗組員を必要とせず、また受け入れることもできません。,Does not require and can not support crew.,,graphics/hullmods/automated.png
高度なターゲティングコア,advancedcore,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AdvancedTargetingCore,"弾道兵器とエネルギー兵器の射程を %s 増加させます。対空兵器の射程は %s のみ増加します。

専用ターゲティングコアまたは統合ターゲティングユニットの取り付けを妨げます。",Greatly extends non-missile weapon range.,,graphics/hullmods/advanced_targeting_core.png
ターゲティングスーパーコンピュータ,supercomputer,,,,,,,,TRUE,,0,0,0,0,data.hullmods.TargetingSupercomputer,"弾道兵器とエネルギー兵器の射程を %s 増加させます。対空兵器の射程は %s のみ増加します。

また、ターゲットリーディングの精度を向上させ、戦闘中のセンサー範囲を大幅に増加させます。",Greatly extends non-missile weapon range.,,graphics/hullmods/targeting_supercomputer.png
実験的フェイズコイル,ex_phase_coils,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ExperimentalPhaseCoils,フェイズクロークのクールダウンを %s 減少させます。,Greatly reduces phase cloak cooldown.,,graphics/hullmods/phase_coils_experimental.png
高ボリションアトラクター,high_frequency_attractor,,,,codex_require_related,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.combat.BaseHullMod,高周波モートを船上のリフトコアによってワープさせることを可能にする実験的な改造です。,Launches more powerful high-frequency motes.,,graphics/hullmods/high_volition_attractor.png
アブレイティブ・アーマー,ablative_armor,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AblativeArmor,"古代の設計で、""スペース""アーマーの登場前に、物質の量で微小隕石を防ぐことを目的としています。

ダメージ軽減計算のための有効装甲強度を実際の値の%sに減少させます。ただし、この設計の船は非常に重い装甲を搭載する傾向があります。",Reduces damage reduction by armor.,,graphics/hullmods/ablative_armor.png
分散火器制御,distributed_fire_control,,,,,,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DistributedFireControl,武器をオフラインにするダメージの多くは、外部制御回路や電力導管に対するものです。この船の武器はより独立して動作するように設計されており、ダメージへの曝露を%s減少させ、船全体で受けるEMPダメージを%s減少させます。,Increases weapon durability and reduces EMP damage taken.,,graphics/hullmods/distributed_fire_control2.png
改造貨物室,converted_bay,1,,,,,,,TRUE,,0,0,0,0,data.hullmods.ConvertedCargoBay,この船の貨物室は、戦闘機のバイを収容するために改造されました。戦闘機のシャーシを生産する即席工場は信頼性が低く、ほとんどの部品には軽微な欠陥があります。戦闘機の速度は%s減少し、受けるダメージは%s増加します。,Pair of improvised fighter bays.,,graphics/hullmods/converted_hangar.png
特別改造,andrada_mods,,,,"dmod, codex_require_related",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.AndradaMods,"初期プロトタイプの検査中、最高執行官は通路に沿った露出した導管について好意的でないコメントをしているのが聞かれ、戦闘条件下で勇敢で忠実な乗組員に対する危険性を指摘しました。

新しい主任設計者は、最高執行官自身によって任命された忠実な士官であり、シンドリア自身が製造した特別な防爆絶縁パネルの設置のために鍛冶プログラマーに配慮を指示しました。

通路が少し狭く、過熱しやすい導管があり、フラッシュセットパネルがアクセスしにくい場合でも、公式の準備報告には変更に対する批判は含まれていません。公の場でも、そして内部安全省が証言できるように、私的にも、ライオンズガード艦隊の厳しい壮大さは息を呑むものです。

戦闘中の乗組員の犠牲者は%s増加します。基本フラックス散逸率は%s減少し、無効化された武器とエンジンの修理率は%s減少します。",Reduces the ship's performance.,,graphics/hullmods/special_modifications.png
巨大な質量,vastbulk,,,,,,,,TRUE,,0,0,0,0,data.hullmods.VastBulk,この構造の本体は巨大であり、実質的には従来の武器からのあらゆる量のダメージを吸収できる能力があります。,,,graphics/hullmods/vast_bulk.png
軸回転,axialrotation,,,,,,,,TRUE,,0,0,0,0,data.hullmods.AxialRotation,この構造は常にその軸を中心に回転しています。,,,graphics/hullmods/axial_rotation.png
アンカー回転,anchorrotation,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AnchorRotation,この構造はそのアンカー取り付け点の周りを回転します。ステーションモジュール専用です。,,,graphics/hullmods/axial_rotation.png
爆発縮小,reduced_explosion,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ReducedExplosion,爆発半径とダメージが減少しました。,,,graphics/hullmods/reduced_explosion.png
常に分離,always_detaches,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.AlwaysDetaches,破壊されると常に親構造から分離します。,,,graphics/hullmods/detach_always.png
決して分離しない,never_detaches,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NeverDetaches,破壊されても親構造から決して分離しません。,,,graphics/hullmods/detach_never.png
武器フラックスなし,no_weapon_flux,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.NoWeaponFlux,武器の発射にフラックスはかかりません。戦闘機に使用され、効果的なシールドヒットポイントの細かい制御が可能です。,,,
貫通発射禁止,do_not_fire_through,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.DoNotFireThrough,ステーションの他のモジュールの武器は、このモジュールを貫通して発射することを避けます。たとえ弾がそれを越えて当たらないとしても。,,,
シャード・スポーナー,shard_spawner,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ShardSpawner,船が無効化または破壊されるとシャード船を生成します。,,,
後退禁止,do_not_back_off,,,,,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DoNotBackOff,DO_NOT_BACK_OFF AIフラグを設定します。,,,
,,,,,,,,,,,,,,,,,,,
# 脅威関連,,,,,,,,,,,,,,,,,,,
脅威船体,threat_hullmod,,,,"codex_require_related, threat",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.combat.threat.ThreatHullmod,脅威艦船の特別な特性を管理するための隠されたハルモッドです。スクリプトで作成された説明です。,,,graphics/hullmods/the_threat.png
フラグメント・スウォーム,fragment_swarm,,,,"codex_unlockable, fragment, no_drop_salvage","Weapons, Special",30000,,,,6,12,18,30,com.fs.starfarer.api.impl.combat.threat.FragmentSwarmHullmod,"脅威のフラグメントの群れが艦船の周りを渦巻き、フラグメントベースの武器用に再生可能なフラグメントの供給を提供します。

フラグメントの基本数は %s/%s/%s/%s で、交換用フラグメントは船体のサイズに応じて、1秒間に %s/%s/%s/%s 回発射されます。

このハルモッドはフラグメント武器が機能するために必要です。ハルモッドが存在しないか、スウォーム内に十分なフラグメントがない場合、フラグメント武器は無効になります。",A swarm of Threat fragments roils around the ship.,最大戦闘準備を %s 減少させ、メンテナンスコストを %s 増加させます。,graphics/hullmods/fragment_swarm.png
セカンダリー・ファブリケーター,secondary_fabricator,,,,"codex_unlockable, fragment, no_drop_salvage","Weapons, Special",20000,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.threat.SecondaryFabricatorHullmod,交換用フラグメントの発射速度を %s 増加させます。,Increases the fragment replacement rate.,フラグメントの交換速度をさらに %s 増加させます。,graphics/hullmods/secondary_fabricator.png
フラグメント・コーディネーター,fragment_coordinator,,,,"codex_unlockable, fragment, no_drop_salvage","Weapons, Special",15000,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.threat.FragmentCoordinatorHullmod,艦船のフラグメント・スウォーム内の最大フラグメント数を %s 増加させます。,Increases the size of the fragment swarm around the ship.,フラグメント・スウォームのサイズをさらに %s 増加させます。,graphics/hullmods/fragment_coordinator.png
,,,,,,,,,,,,,,,,,,,
# シュラウデッド・ドウェラーのアイテム,,,,,,,,,,,,,,,,,,,
ドウェラー・ハルモッド,dweller_hullmod,,,,dweller,,,,TRUE,TRUE,0,0,0,0,com.fs.starfarer.api.impl.combat.dweller.DwellerHullmod,シュラウデッド・ドウェラーのビジュアルとカスタムメカニクスを追加します。プレイヤーには表示されません。,,,
シュラウデッド・マントル,shrouded_mantle,,,,"codex_unlockable, shrouded, no_drop_salvage",Special,,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.dweller.ShroudedMantleHullmod,"艦船は、かなりの船体ダメージを受けた際に（願わくば）危険から後退しようとします。

戦闘中の乗組員の死傷者は %s 増加します。",The ship recoils away from damage.,艦船は、ハンガリング・リフトによって提供される %s の治癒の恩恵を受けます。,graphics/hullmods/shrouded_mantle.png
シュラウデッド・サンダーヘッド,shrouded_thunderhead,,,,"codex_unlockable, shrouded, no_drop_salvage","Weapons, Special",,,,,5,10,15,25,com.fs.starfarer.api.impl.combat.dweller.ShroudedThunderheadHullmod,<スクリプトによって作成されました>,The ship fires Rift Lightning bolts at recent targets of its weapons.,,graphics/hullmods/shrouded_thunderhead.png
シュラウデッド・レンズ,shrouded_lens,,,,"codex_unlockable, shrouded, no_drop_salvage",Special,,,,,3,6,9,15,com.fs.starfarer.api.impl.combat.dweller.ShroudedLensHullmod,<スクリプトによって作成されました>,"The Lens automatically focuses on nearby targets, dealing damage in an area.",,graphics/hullmods/shrouded_lens.png
,,,,,,,,,,,,,,,,,,,
# 艦船スキンバフ,,,,,,,,,,,,,,,,,,,
第14戦闘群,fourteenth,,,,,,,,TRUE,,0,0,0,0,data.hullmods.Fourteenth,この艦船は、ヘゲモニーを設立した元の第14ドメイン戦闘群の生き残りです。これは、ドメイン海軍の「決定的な戦闘」ドクトリンの代表的な標本であり、特に、より重い装甲プレートを取り付けることを可能にする一連の急進的な構造改造（崩壊前の工業手法で実施）によって示されています。標準ユニットを %s 増加させ、速度と機動性を %s 減少させるだけです。非常に調整されたエネルギーシステムは、このハルの標準的な例に対してフラックスのスループットと容量を %s 増加させます。,,,graphics/hullmods/fourteenth.png
軍事化されたヘゲモニー補助艦,heg_militarized,,,,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.Militarized,この艦船は、ヘゲモニーの補助リストに載っているか、かつて載っていました。ヘゲモニー海軍の造船所で適用されたアッパーマーキットにより、船体のサイズに応じて %s/%s/%s/%s の装甲強度の増加に対して性能の損失はありません。コアパワーシステムは軍事基準にアップグレードされ、全体的な取り扱いが %s 改善され、フラックス容量が %s 増加し、フラックス散逸が %s 増加し、最大バーニングレベルが %s 増加します。,,,graphics/hullmods/militarized_hegemony_auxiliary.png
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
# 永続的な艦船デバフ,,,,,,,,,,,,,,,,,,,
損傷した装甲,comp_armor,,,,"dmod, damage, damageStruct",,,,TRUE,,0,0,0,0,data.hullmods.CompromisedArmor,"この艦船の装甲は過去のある時点で重大かつ修復不可能なダメージを受けたか、製造プロセスで重大なエラーが発生しました。装甲評価は %s 減少します。

展開から回復するための供給コストは %s 減少します。",,,graphics/hullmods/compromised_armor.png
損傷した船体,comp_hull,,,,"dmod, damage, damageStruct",,,,TRUE,,0,0,0,0,data.hullmods.CompromisedHull,"この艦船の船体は過去のある時点で重大かつ修復不可能なダメージを受けたか、製造プロセスで重大なエラーが発生しました。船体の完全性は %s 減少します。

展開から回復するための供給コストは %s 減少します。",,,graphics/hullmods/compromised_hull.png
劣化したエンジン,degraded_engines,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.hullmods.DegradedEngines,"戦闘ダメージ、製造欠陥、または不適切なメンテナンスのサイクルによるものか、この船のエンジンは恒久的に戦闘性能が劣化しています。

戦闘時の最高速度と機動性が%s減少しました。

展開からの回復にかかる補給コストが%s減少しました。",,,graphics/hullmods/degraded_engines.png
劣化したドライブフィールド,degraded_drive_field,,,,"dmod, damage, civOnly",,,,TRUE,,0,0,0,0,data.hullmods.DegradedDriveField,"戦闘ダメージ、製造欠陥、または不適切なメンテナンスのサイクルによるものか、この船のドライブフィールドは恒久的に性能が劣化しています。

最大燃焼レベルが%s減少しました。センサープロファイルが%s増加しました。

展開からの回復にかかる補給コストが%s減少しました。",,,graphics/hullmods/degraded_drivefield.png
故障した電力網,faulty_grid,,,,"dmod, damage",,,,TRUE,,0,0,0,0,data.hullmods.FaultyPowerGrid,"戦闘ダメージ、製造欠陥、または不適切なメンテナンスのサイクルによるものか、この船の電力網はピーク性能を達成することができません。

フラックス容量が%s減少しました。フラックス放散率が%s減少しました。センサープロファイルが%s増加しました。

展開からの回復にかかる補給コストが%s減少しました。",,,graphics/hullmods/faulty_power_grid.png
フェイズコイルの不安定性,unstable_coils,,,,"dmod, phaseDamage",,,,TRUE,,0,0,0,0,data.hullmods.PhaseCoilInstability,"この船のフェイズコイルは微妙な欠陥のために適切にキャリブレーションすることができません。フェイズタイムボーナスが%s減少し、ピーク性能時間が%s減少し、戦闘準備が劣化する速度が%s増加します。

展開からの回復にかかる補給コストが%s減少しました。",,,graphics/hullmods/phase_coil_instability.png
構造的損傷,comp_structure,,,,"dmod, damageStruct, destroyedDamageAlways",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStructure,"この船の船体は過去に極度の損傷を受けており、分解する寸前だった可能性があります。装甲評価が%s減少し、船体の完全性が%s減少しました。

展開からの回復にかかる補給コストが%s減少しました。",,,graphics/hullmods/structural_damage.png
グリッチしたセンサーアレイ,glitched_sensors,,,,"dmod, damage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.GlitchedSensorArray,"この船のセンサーアレイは完全な船体のオーバーホールを除いて修理不可能なほど損傷しています。戦闘時の武器射程が%s減少しました。センサー強度が%s減少しました。

展開からの回復にかかる補給コストが%s減少しました。",,,graphics/hullmods/glitched_sensor_array.png
故障した通信,malfunctioning_comms,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.MalfunctioningComms,"通信システムは深刻な損傷を受けており、戦場のジャミングを突破することがさらに困難になっています。戦闘機の交戦範囲が%s減少しました。

展開からの回復にかかる補給コストが%s減少しました。",,,graphics/hullmods/malfunctioning_comms.png
欠陥のある工場,defective_manufactory,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DefectiveManufactory,"戦闘機のシャーシを生産する工場は信頼性が低く、ほとんどの部品に軽微な欠陥があります。戦闘機の速度が%s減少し、受けるダメージが%s増加しました。

展開からの回復にかかる補給コストが%s減少しました。",,,graphics/hullmods/defective_manufactory.png
損傷したフライトデッキ,damaged_deck,,,,"dmod, fighterBayDamage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DamagedFlightDeck,"この船のフライトデッキは大きな損傷を受けており、通常の操作に深刻な影響を与えています。代替戦闘機を発進させるまでの時間が%s増加しました。

展開からの回復にかかる補給コストが%s減少しました。",,,graphics/hullmods/damaged_flight_deck.png
信頼性の低いサブシステム,fragile_subsystems,,,,"dmod, damage, peak_time, notPhase",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FragileSubsystems,"冗長部品の広範な喪失により、ピーク稼働時間が%s減少し、戦闘準備が劣化する速度が%s増加します。

展開からの回復にかかる補給コストが%s減少しました。",,,graphics/hullmods/fragile_subsystems.png
妥協されたストレージ,comp_storage,,,,"dmod, damage, civOnly",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.CompromisedStorage,"この船のストレージ容量は大幅に劣化しています。乗組員、貨物、燃料の容量が%s減少しました。

展開からの回復にかかる補給コストが%s減少しました。",,,graphics/hullmods/compromised_storage.png
増加したメンテナンス,increased_maintenance,,,,"dmod, damage, civ, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.IncreasedMaintenance,"月間メンテナンスの補給コストが%s増加します。必要な最低乗組員が%s増加します。最大戦闘準備が%s減少します。

展開からの回復にかかる補給コストが%s減少しました。","Increases maintenance cost and crew requirements, decreases maximum combat readiness.",,graphics/hullmods/increased_maintenance.png
不安定な燃料インジェクター,erratic_injector,,,,"dmod, damage, civ",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.ErraticInjector,"燃料使用量が%s増加し、ゼロフラックスブーストが%s su/秒減少します。

展開からの回復にかかる補給コストが%s減少しました。",Increases fuel use and decreases the zero-flux boost.,,graphics/hullmods/erratic_injector.png
故障した自動システム,faulty_auto,,,,"dmod, damage, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.FaultyAutomatedSystems,"必要な最低乗組員が%s増加し、最大戦闘準備が%s減少します。

展開からの回復にかかる補給コストが%s減少しました。","Increases minimum crew required, decreases maximum combat readiness.",,graphics/hullmods/faulty_automated_systems.png
損傷した武器マウント,damaged_mounts,,,,"dmod, damage",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DamagedWeaponMounts,"武器の旋回速度が%s減少し、反動が%s増加します。

展開からの回復にかかる補給コストが%s減少しました。",Reduces weapon turn rate and increases recoil.,,graphics/hullmods/damaged_weapon_mounts.png
劣化したライフサポート,degraded_life_support,,,,"dmod, damage, notAuto",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DegradedLifeSupport,"最大乗組員数が %s 減少し、最大戦闘準備度が %s 減少します。

展開から回復するための補給コストが %s 減少します。",Decreases maximum crew capacity and combat readiness.,,graphics/hullmods/degraded_life_support.png
劣化したシールド,degraded_shields,,,,"dmod, damage, reqShields",,,,TRUE,,0,0,0,0,com.fs.starfarer.api.impl.hullmods.DegradedShields,"シールドが受けるダメージ量が %s 増加します。

展開から回復するための補給コストが %s 減少します。",Increases damage taken by shields.,,graphics/hullmods/degraded_shields.png
,,,,,,,,,,,,,,,,,,,
破壊された武器マウント,destroyed_mounts,,,,dmod,,,,TRUE,,0,0,0,0,data.hullmods.DestroyedWeaponMounts,この船の元々の武器マウントの一部が修理不可能なほど損傷しており、もはや使用できません。,,,graphics/hullmods/damaged_weapon_mounts.png
不適切な改造,ill_advised,,,,dmod,,,,TRUE,,0,0,0,0,data.hullmods.IllAdvised,この船体のシステムは仕様から大幅に改造されており、おそらく認定されたエンジニアの監視なしに行われています。システムは通常の条件下では正しく機能しているように見えますが、ストレスがかかると重大な故障が発生する可能性があります。,,,graphics/hullmods/illadvised.png
