id,trigger,conditions,script,text,options,notes
lkeChalcedonBarReturnNextDay1,DialogOptionSelected,$option == lke_chalcedonBarMeetM,,"翌日です。あなたが入ってくると、マモナイトがバーカウンターからあなたを迎えます - 昨晩の飲みすぎで少し疲れているようです。

""はい、こんにちはキャプテン！私の友人に会いに来なければなりません！""

彼は不安定に立ち上がり、バーの奥のドアを通ってあなたを導きます。",lke_chalcedonBarNextday2:従う,
lkeChalcedonBarReturnNextDay2,DialogOptionSelected,$option == lke_chalcedonBarNextday2,"$lke_interceptLeaveBar2 = true 0
BarCMD leaveBar","あなたは倉庫に足を踏み入れます。壊れた家具が隅に積まれています。貼り付け式のグロープレートからの薄暗い光が病的な黄緑のグラデーションに変わっています。

""彼はここを通り抜けたところにいます。来て、来て、""とマモナイトは手招きし、外のドアを通り抜けます。",,
lkeChalcedonBarReturnNextDay2bar,ReturnFromBar,$lke_interceptLeaveBar2,unset $lke_interceptLeaveBar2,,"lke_chalcedonBarNextday3:ドアを通り抜ける
lke_chalcedonBarNextday2b:サイドアームを準備してから、ドアを通り抜ける
lke_chalcedonBarNextday2c:ボディーガードを呼んでから、ドアを通り抜ける",
lkeChalcedonBarReturnNextDay2b,DialogOptionSelected,$option == lke_chalcedonBarNextday2b,$market.lkeReadiedSidearm = true 0,サイドアームをホルスターから外し、その状態を確認し、近くに持ちながらも準備します。,lke_chalcedonBarNextday3:ドアを通り抜ける,
lkeChalcedonBarReturnNextDay2c,DialogOptionSelected,$option == lke_chalcedonBarNextday2c,$market.lkeReadiedBodyguards = true 0,あなたはボディーガードに静かに命令し、彼らの専門的な訓練と装備で状況を制御できる自信を持って、あなたの位置を囲むように指示します。,lke_chalcedonBarNextday3:ドアを通り抜ける,
lkeChalcedonBarReturnNextDay3,DialogOptionSelected,$option == lke_chalcedonBarNextday3,HideVisual,"ドアを通り抜ける。

日光が、嵐の中の珍しい隙間から、あなたの視界を一瞬洗い流します。",lke_chalcedonBarNextday4:続ける,
lkeChalcedonBarReturnNextDay4,DialogOptionSelected,$option == lke_chalcedonBarNextday4,Call $global.lke_ref shootEm,銃声が耳をつんざく。,lke_chalcedonBarNextday5:反応する,
lkeChalcedonBarReturnNextDay5a,DialogOptionSelected,"$option == lke_chalcedonBarNextday5
$market.lkeReadiedBodyguards",,"ほとんど考えずに、あなたは横に倒れ、火の弾幕から身を守ります。戦術的なチャットが耳元でささやきます；落ち着いた声で。誰もあなたに武器を向けていませんが、あなたのボディガードは一言で近くの誰でも排除できます。

最も近い形は影；一つの姿；一人の男。あなたに武器を向けていない。あなたを見つめ、手を開いて半分上げています。",lke_chalcedonBarNextday6:続ける,
lkeChalcedonBarReturnNextDay5b,DialogOptionSelected,"$option == lke_chalcedonBarNextday5
$market.lkeReadiedSidearm",,ほとんど考えずに、あなたは側面に倒れ、最も近い形に向けてサイドアームを構えます - 影；一つの姿；一人の男。あなたに武器を向けていない。あなたを見つめ、手を開いて半分上げています。,lke_chalcedonBarNextday6:続ける,
lkeChalcedonBarReturnNextDay5c,DialogOptionSelected,$option == lke_chalcedonBarNextday5,,ほとんど考えずに、あなたは横に倒れ、火の弾幕から身を守ります。目の前の最も近い形は影；一つの姿；一人の男。あなたに武器を向けていない。あなたを見つめ、手を開いて半分上げています。,lke_chalcedonBarNextday6:続ける,
lkeChalcedonBarReturnNextDay6,DialogOptionSelected,$option == lke_chalcedonBarNextday6,"BeginConversation sedge
Call $global.lke_ref playMusicSedge
FireAll LKEchalcedonBarSedgeOpts
$market.talkingOutside = true 0
$global.lke_sedgeKilledMammonite = true 0","""質問をしていると聞いたよ、""と男は安っぽい笑顔で言います。一本の歯が欠け、もう一本はひび割れています。彼はカビと汗の匂いがします。

""私はセッジです。""彼は手を優雅に振り、あなたがいる悲惨な路地を示します。そこには自分の血の水たまりにうずくまるマモナイトがいます。""私の道へようこそ。""",,
"# LKE Chalcedon, Sedge convo",,,,,,
lkeChalcedonBarSedge0,DialogOptionSelected,$option == lke_chalcedonBarSedge0,,"あなたは席に着きます。シンプルで蒸気の立つお茶があなたの前に置かれ、店主からの微妙なヒントがあり、頼めばもっと強いものがティーポットで届くでしょう。

スペーサーバーに集まるカラフルな人物たちを適切に評価する前に、男が自信満々にあなたの隣に座り、あなたのお茶のカップをつかみ、一気に飲み干します。","lke_chalcedonBarSedge1:続ける
lke_chalcedonBarSedge1b:""おい、それは私のお茶だった！""",
lkeChalcedonBarSedge1,DialogOptionSelected,$option == lke_chalcedonBarSedge1,"$global.lke_sedgeDrankYourTea = true
BeginConversation sedge
Call $global.lke_ref playMusicSedge
FireAll LKEchalcedonBarSedgeOpts
$market.talkingAtBar = true 0","お茶が不快に熱いと思ったかもしれませんが、男は気にせず口の中でぐるぐる回して飲み込みます。

""質問をしていると聞いたよ、""と彼は安っぽい笑顔で言います。一本の歯が欠け、もう一本はひび割れています。彼はカビと汗の匂いがします。

""私はセッジです、""と彼は言います。",,
lkeChalcedonBarSedgeOptKill2,LKEchalcedonBarSedgeOpts,"$market.lkePlayerKidnapped
!$hadShotTalk
$global.lke_sedgeKilledMammonite",,,"lke_chalcedonSedgeRespKill:""なぜ彼を殺したのですか？""",
lkeChalcedonBarSedgeOptB,LKEchalcedonBarSedgeOpts,!$saidRecruiter,,,"lke_chalcedonBarSedgeRespB:""あなたは誰ですか？""",
lkeChalcedonBarSedgeOptC,LKEchalcedonBarSedgeOpts,!$saidRecruiter,,,"lke_chalcedonBarSedgeRespC:""あなたがリクルーターですね。""",
lkeChalcedonBarSedgeOptA,LKEchalcedonBarSedgeOpts,!$askedJethro,,,"lke_chalcedonBarSedgeRespA:""ジェスロ・ボルナニューという男を探しています。""",
lkeChalcedonBarSedgeOptA2,LKEchalcedonBarSedgeOpts,$askedJethro,,,"lke_sedgeShowPic:ジェスロ・ボルナニューの写真を見せて、""彼を知っていますか？""",
lkeChalcedonBarSedgeOptD,LKEchalcedonBarSedgeOpts,"$market.talkingAtBar
!$saidTea
!$gotTeapot",,,"lke_chalcedonBarSedgeRespTea:""私のお茶を飲みました。""",
lkeChalcedonBarSedgeOptD2,LKEchalcedonBarSedgeOpts,"$saidTea
!$saidTea2",,,"lke_chalcedonBarSedgeRespTea2:""人のお茶を勝手に飲んではいけません。""",
lkeChalcedonBarSedgeOptE,LKEchalcedonBarSedgeOpts,"$market.talkingAtBar
!$gotTeapot",,,lke_chalcedonBarSedgeRespE:店主にもっと強いものを頼む合図をする。,
lkeChalcedonBarSedgeSmashA,LKEchalcedonBarSedgeOpts,"$global.sedgeSmashedTea
!$didSmashAsk",,,"lke_askSedgeSmashA:""彼らは恐れている。だから力が正義で、恐怖が支配する。これが正しいと思うのか？""",
lkeChalcedonBarSedgeSmashB,LKEchalcedonBarSedgeOpts,"$global.sedgeSmashedTea
!$didSmashAsk",,,"lke_askSedgeSmashB:""彼らはあなたを尊敬している。なぜなら、あなたはやるべきことをする覚悟があるから。""",
lkeChalcedonSedgeOptMurder,LKEchalcedonBarSedgeOpts,"$saidRecruiter
$saidMurder
!$agreedWithMurder
!$player.gotSedgeFaithSpeech",,,"lke_askSedgeMurder:""どうして冷血で人を殺して、自分が正しいと思えるのか？""",
lkeChalcedonSedgeOptFaithA,LKEchalcedonBarSedgeOpts,"$player.gotSedgeFaithSpeech 
$global.lke_sedgeKilledMammonite
!$saidFaithResponse",,,"lke_sedgeFaithA:""あなたはそれが正しいと感じて殺すのですか？それは狂っています。""",
lkeChalcedonSedgeOptFaithB,LKEchalcedonBarSedgeOpts,"$player.gotSedgeFaithSpeech
$global.lke_sedgeKilledMammonite
!$saidFaithResponse",,,"lke_sedgeFaithB:""行いではなく信仰だけについて言うことは... 理にかなっています。""",
lkeChalcedonSedgeOptFaithC,LKEchalcedonBarSedgeOpts,"$player.gotSedgeFaithSpeech 
$global.sedgeSmashedTea
!$saidFaithResponse",,,"lke_sedgeFaithA:""あなたは自分のしたいことをして、信仰がそれを良いものにすると考えているのですか？それは狂っています。""",
lkeChalcedonSedgeOptFaithD,LKEchalcedonBarSedgeOpts,"$player.gotSedgeFaithSpeech
$global.sedgeSmashedTea
!$saidFaithResponse",,,"lke_sedgeFaithB:""信仰だけを追うことについてあなたが言うことは、...理にかなっています。""",
lkeAskSedgeSmashA,DialogOptionSelected,$option == lke_askSedgeSmashA,"$didSmashAsk = true 0
$player.gotSedgeFaithSpeech = true
$player.ethosHumanitarian++
FireAll LKEchalcedonBarSedgeOpts","セッジは首を振り、「あなたは何も理解していません。マモンとモロクはあなたの心と頭の中に生きています。」

「正義は善と悪を秤にかけるものではありません。人類は罪の存在であり、地球の楽園の冒涜によって呪われています。パスに従うこと以外にあなたを救うものはありません。私が従うのは信仰であり、私に道を示すのは信仰であり、救いは信仰だけです。」

「私がすることは、パスに従うからです。本当のパスは天に終わります。信仰がこれを明らかにします。」",,
lkeAskSedgeSmashB,DialogOptionSelected,$option == lke_askSedgeSmashB,"$didSmashAsk = true 0
$player.gotSedgeFaithSpeech = true
FireAll LKEchalcedonBarSedgeOpts","セッジはうなずきます。「彼らにはないものを私は持っています：パスへの信仰です。私は恐れず、疑問を持たずにそれが導くところに従います。信仰だけが正しいパスを明らかにします。

「真の信仰は信仰のない者を恐れさせます。」彼は後ろに寄りかかり、表情が和らぎます。彼は自慢することはありませんが、絶対に真剣です。「あなたはこれらの小さな宇宙船、ヘゲモニー、教会の嘘つきたちが、私たちをどれほど恐れているかを見るでしょう。」",,
lkeSedgeFaithA,DialogOptionSelected,$option == lke_sedgeFaithA,"AdjustRepActivePerson HOSTILE -1
$saidFaithResponse = true 0
$player.luddicAttitudePather--
FireAll LKEchalcedonBarSedgeOpts","""あなたが神でないのは良いことだ,"" セッジは新たな笑みを浮かべて言った, ""そうでなければ私は大変なことになるだろう。""",,
lkeSedgeFaithB,DialogOptionSelected,$option == lke_sedgeFaithB,"$saidFaithResponse = true 0
$player.luddicAttitudePather++
AdjustRepActivePerson WELCOMING 3
AdjustRep luddic_path WELCOMING 1
$player.agreedWithSedgeTheology = true
FireAll LKEchalcedonBarSedgeOpts","""感覚は信仰ではない,"" セッジはあなたを訂正しながら言った。""しかし、あなたはまだ道を見つけているのかもしれない。""

彼は一瞬黙り、続けて言った、""いつかもっと話しましょう、$playerBrotherOrSister、私との用事の後に。""",,
lkeAskSedgeMurder,DialogOptionSelected,$option == lke_askSedgeMurder,$saidMurder = true 0,"セッジはあなたを見つめて目を細めた。""人を殺すことは正義ではないと言うのか？あなたはそのマモニストを知らない。私は知っている。しかし,"" セッジはうめき声を上げて言った, ""私の道をあなたに説明する必要はない。神が裁く。""","lke_askSedgeMurderA:話題を変える
lke_askSedgeMurderB:""私は、何らかの世俗的な権威があなたを裁くことになると思います、そしてそれは良くないでしょう。""
lke_askSedgeMurderC:""天国に入るためには、どれだけの血を流さなければならないのか？""
lke_askSedgeMurderD:""あなたのどんな善行がそんな軽率な殺人を上回るのか？""
lke_askSedgeMurderE:""あなたは悪い男を殺したのか？それなら、私は早まったことを言った。""",
lkeAskSedgeMurderA,DialogOptionSelected,$option == lke_askSedgeMurderA,FireAll LKEchalcedonBarSedgeOpts,,,
lkeAskSedgeMurderB,DialogOptionSelected,$option == lke_askSedgeMurderB,"$player.ethosOrder++
FireAll LKEchalcedonBarSedgeOpts","セッジは肩をすくめた。""私の道は終わるだろう。今日は違うと思う。""",,
lkeAskSedgeMurderC,DialogOptionSelected,$option == lke_askSedgeMurderC,"$option = lke_askSedgeMurderD 0
FireBest DialogOptionSelected",,,
lkeAskSedgeMurderD,DialogOptionSelected,$option == lke_askSedgeMurderD,"$player.ethosHumanitarian++
$player.gotSedgeFaithSpeech = true
FireAll LKEchalcedonBarSedgeOpts","セッジは首を振りながら言った, ""あなたは理解していない。あなたはそう考えるのか？それはあなたが心の中でマモンとモロクを崇拝していることを示している、あなたはそれを知らない。""

""正義は善と悪を天秤にかけるものではない。人間は罪の存在であり、地球の楽園の冒涜によって呪われている。道を歩むこと以外にあなたを救うものはない。私が従うのは信仰であり、私に道を示すのは信仰であり、救いは信仰だけだ。""

""私は道を歩むからこそ行動するのであって、買って-、"" 彼はうなだれた死体に向かって唾を吐くために一時停止した, ""-天国に入るための道を買えると思っているわけではない。""",,
lkeAskSedgeMurderE,DialogOptionSelected,$option == lke_askSedgeMurderE,"$player.ethosRuthless++
$player.luddicAttitudePather++
FireAll LKEchalcedonBarSedgeOpts","セッジは頷いた。""私の道は彼の道と交わり、彼の道は終わる運命だった。""",,
lkeChalcedonBarSedgeRespA,DialogOptionSelected,"$option == lke_chalcedonBarSedgeRespA
$market.talkingAtBar","$askedJethro = true 0
FireAll LKEchalcedonBarSedgeOpts","""うーん。"" セッジは目をそらし、考え込むふりをしながら、あなたのカップ - 今は彼のもの - を手の中で何度も回している。""いいえ、ジェスロのことは思い出せない。""",,
lkeChalcedonBarSedgeRespA2,DialogOptionSelected,"$option == lke_chalcedonBarSedgeRespA
$market.talkingOutside","$askedJethro = true 0
FireAll LKEchalcedonBarSedgeOpts","""うーん。"" セッジは目をそらし、考え込むふりをしている。""いいえ、ジェスロのことは思い出せない。""

たまった血は小さな流れに捕まえられ、路地に赤い筋を洗い流し始める。",,
lkeChalcedonBarSedgeRespB,DialogOptionSelected,$option == lke_chalcedonBarSedgeRespB,"$saidRecruiter = true 0
FireAll LKEchalcedonBarSedgeOpts","彼は偽の混乱の表情を作る。""私はただ言った。私はセッジだ。""

彼はその表情をやめた。""しかし、あなたは私が道にとって誰なのかを知りたいのだ。私がこの世界にとって誰なのか、ここに来るかもしれない人々にとって誰なのか。あなたにとって私は誰なのか。あなたが探しているものにとって私は誰なのか。""

彼は自分を訂正し、指を立てて言った, ""あなたが探している人。""",,
lkeChalcedonBarSedgeRespB2,DialogOptionSelected,$option == lke_chalcedonBarSedgeRespB2,"$saidRecruiter = true 0
FireAll LKEchalcedonBarSedgeOpts","""人々は私を見つける。道を求める者たち,"" 彼はあなたを見つめ、気楽さの仮面が剥がれ、彼の目に氷のように冷たく自信に満ちた熱意を見せる。

""私は彼らの道が正しいかどうかを判断する。もしそうなら,"" 彼は肩をすくめる。ただの星間テロリズムネットワークを構築するための気楽な仕事だ。",,
lkeChalcedonBarSedgeRespC,DialogOptionSelected,$option == lke_chalcedonBarSedgeRespC,"$saidRecruiter = true 0
FireAll LKEchalcedonBarSedgeOpts","""それが私なのか？"" 彼は一瞬黙り、頷いた, ""それ以上に、人々は私を見つける。道を求める者たち。""

気楽さの仮面が剥がれ、彼の目に氷のように冷たく自信に満ちた熱意を見せる。""私は彼らの道が正しいかどうかを判断する。もしそうなら,"" 彼は肩をすくめる; ただの星間テロリズムネットワークを構築するための気楽な仕事だ。",,
lkeChalcedonBarSedgeRespTea,DialogOptionSelected,$option == lke_chalcedonBarSedgeRespTea,"$saidTea = true 0
FireAll LKEchalcedonBarSedgeOpts","""なぜそんなことを言うのか？それは終わった,"" セッジは言った。

""もしかして、あなたはそれを取り戻したいのか？"" 彼は微笑んだ。",,
lkeChalcedonBarSedgeRespTea2,DialogOptionSelected,$option == lke_chalcedonBarSedgeRespTea2,$saidTea2 = true 0,"""私はするからできる,"" 彼は言った。その微笑みは真空の中で氷が昇華するように消えた。

""あなたが理解していないことがわかる、宇宙船乗り。""

彼はあなたに視線を固定しながら、テーブルを横切って手を振り、カップとティーポットを隣の飲み会に飛ばして壊した。彼らは不快の叫びを上げた。",lke_chalcedonBarSedgeRespTea3:続ける,
lkeChalcedonBarSedgeRespTea3,DialogOptionSelected,$option == lke_chalcedonBarSedgeRespTea3,"$global.sedgeSmashedTea = true 0
FireAll LKEchalcedonBarSedgeOpts","床の椅子が擦れる音とともに、怒った一団の仲間たちによって叫び声はすぐに静められる。部屋の中の会話は途絶え、近くのテーブルにいる全員が状況を把握する。セッジを見て、彼らは静かにティーハウスから出て行き始める。

すぐに、あなたはほぼ一人にされる。

セッジは手をゆっくりと弧を描くように動かし、部屋を出た者たちを指し示す、""彼らは理解している。""

別のポットの紅茶と二つの新しいカップが現れ、店主はすぐに陶器が足元で砕ける音を立てて退散した。",,
lkeChalcedonBarSedgeRespE,DialogOptionSelected,$option == lke_chalcedonBarSedgeRespE,$gotTeapot = true 0,"あなたは店主に合図を送り、彼はセッジの後頭部を疑問の目で見つめる - 本当に？彼がそこにいるのに？あなたはしっかりと頷いて注文を確認する。

すぐにティーポットが到着し、酒の香りが漂う。二つのカップはほとんど落ちそうになり、店主は退散する。

セッジはその全ての手順を歪んだ笑みで見守り、二つのカップを所定の位置に置き、ポットから注ぐ。彼はカップを持ち上げ、期待を込めてあなたを見る。","lke_chalcedonBarSedgeCheersA:""失われたものを見つけることに。""
lke_chalcedonBarSedgeCheersB:""これは飲んでもいいのか？""
lke_chalcedonBarSedgeCheersC:""これに祈りはあるのか？""",
lkeChalcedonBarSedgeCheersA,DialogOptionSelected,$option == lke_chalcedonBarSedgeCheersA,FireAll LKEchalcedonBarSedgeOpts,"""そして、私たちが神の道で真実を認識できるように,"" 彼は付け加えた, ""そして、目を背けないように。""

それから彼は酒を飲み干した。",,
lkeChalcedonBarSedgeCheersB,DialogOptionSelected,$option == lke_chalcedonBarSedgeCheersB,RemoveOption lke_chalcedonBarSedgeCheersB,"""神は私を許してくれるだろう,"" 彼は言いながらカップを揺らした。",,
lkeChalcedonBarSedgeCheersC,DialogOptionSelected,$option == lke_chalcedonBarSedgeCheersC,FireAll LKEchalcedonBarSedgeOpts,"""私たちが神の道で真実を認識できるように,"" 彼は言った, ""そして、目を背けないように。""

それから彼は酒を飲み干した。",,
lkeChalcedonSedgeRespKill,DialogOptionSelected,$option == lke_chalcedonSedgeRespKill,"$hadShotTalk = true 0
FireAll LKEchalcedonSedgeKillResps","""それ？"" セッジは地面の石を見つめるように下を向く。

""それは不注意だった。道について軽々しく話すべきではないことを忘れていた。道は神聖だ。堕落した異教徒の口に入るべきではない。""

彼の目は再び下に向く、「ああいうふうに。」",,
LKEchalcedonSedgeKillRespsA,LKEchalcedonSedgeKillResps,,,,"lke_chalcedonSedgeKillOptA:""それが私をあなたの元へ導いた。私も撃つつもりですか？""",
LKEchalcedonSedgeKillRespsB,LKEchalcedonSedgeKillResps,,,,"lke_chalcedonSedgeKillOptB:""あなたを殺すこともできる。""",
LKEchalcedonSedgeKillRespsC,LKEchalcedonSedgeKillResps,,,,"lke_chalcedonSedgeKillOptC:""あなたを殺させることもできる。""",
LKEchalcedonSedgeKillRespsD,LKEchalcedonSedgeKillResps,,,,"lke_chalcedonSedgeKillOptD:""はい、あなたは彼に慈悲を与えた。""",
LKEchalcedonSedgeKillRespsE,LKEchalcedonSedgeKillResps,,,,"lke_chalcedonSedgeKillOptE:""彼はどうせ飲みすぎていた。""",
LKEchalcedonSedgeKillOptA,DialogOptionSelected,$option == lke_chalcedonSedgeKillOptA,FireAll LKEchalcedonBarSedgeOpts,"""いいえ。"" 彼は再び微笑む。""あなたはここで歓迎されている、祝福された平和と私の人々のもてなしと共に。""",,
LKEchalcedonSedgeKillOptB,DialogOptionSelected,$option == lke_chalcedonSedgeKillOptB,FireAll LKEchalcedonBarSedgeOpts,"""はい。"" 彼は再び微笑む。""しかし、$playerBrotherOrSister、あなたは探しているものを見つけることはできない。""",,
LKEchalcedonSedgeKillOptC,DialogOptionSelected,$option == lke_chalcedonSedgeKillOptC,FireAll LKEchalcedonBarSedgeOpts,"""はい。"" 彼は再び微笑む。""しかし、$playerBrotherOrSister、あなたは探しているものを見つけることはできない。""",,
LKEchalcedonSedgeKillOptD,DialogOptionSelected,$option == lke_chalcedonSedgeKillOptD,"$player.luddicAttitudePather++
$player.ethosRuthless++
$agreedWithMurder = true 0
FireAll LKEchalcedonBarSedgeOpts","彼は再び微笑む。""あなたはここで歓迎されている、祝福された平和と私の人々のもてなしと共に。""",,
LKEchalcedonSedgeKillOptE,DialogOptionSelected,$option == lke_chalcedonSedgeKillOptE,"$player.ethosRuthless++
$agreedWithMurder = true 0
FireAll LKEchalcedonBarSedgeOpts","彼は再び微笑む。""あなたはここで歓迎されている、祝福された平和と私の人々のもてなしと共に。""",,
lkeSedgeShowPicA,DialogOptionSelected,"$option == lke_sedgeShowPic
$market.talkingAtBar","$option = lke_sedgeShowPic2 0
FireBest DialogOptionSelected",あなたはトライパッドを取り出し、ジェスロ・ボーンアニューのファイルを起動する。彼が去る前のホロがある。,,
lkeSedgeShowPicB,DialogOptionSelected,"$option == lke_sedgeShowPic
$market.talkingOutside","$option = lke_sedgeShowPic2 0
FireBest DialogOptionSelected",あなたはゆっくりとトライパッドを取り出し、ジェスロ・ボーンアニューのファイルを起動する。彼が去る前のホロがある。,,
lkeSedgeShowPic2,DialogOptionSelected,$option == lke_sedgeShowPic2,"SetPersonPortrait bornanew ""jethro_bornanew2""
ShowSecondPerson bornanew
$global.lke_gotBornanewLead = true
Call $global.lke_ref updateStage
unset $market.lkeMeetingSet","セッジはそれを調べるために身を乗り出す。

""ああ。"" 彼はためらうことなく話す、""はい、今思い出した。彼はマザロットに行った。""","lke_sedgeShowPic3:""マザロット？なぜ？""",
lkeSedgeShowPic3,DialogOptionSelected,$option == lke_sedgeShowPic3,"HideSecondPerson
SetPersonPortrait bornanew ""jethro_bornanew""","セッジはしばらく言葉を考える。歯の隙間から唾を吸い込む。

""あの男、彼の信仰は真実だ。"" セッジは再び口をゆすぐ。""しかし彼は... 自分の道を知らなかった。""",lke_sedgeShowPic4:続ける,
lkeSedgeShowPic4a,DialogOptionSelected,"$option == lke_sedgeShowPic4
$market.talkingOutside",,"セッジは突然後ろに立ち、路地を見つめる。

""人が本当に信じることができ、そして自分の道を知らない？それを見るのは好きではなかった。私は彼に、私たちの中には居場所がないと言った。""

彼はあなたの目を見ずに話す、""彼はしばらく働いていたと聞いた、その後マザロットへの航路を買った。""

""彼らも私が見たものを見てくれることを願っている。彼は... 不適格だ。""",lke_sedgeEnd1:続ける,
lkeSedgeShowPic4b,DialogOptionSelected,"$option == lke_sedgeShowPic4
$market.talkingAtBar",,"セッジは突然立ち上がり、心配そうな表情を浮かべる。

""人が本当に信じることができ、そして自分の道を知らない？それを見るのは好きではなかった。私は彼に、私たちの中には居場所がないと言った。""

""彼はしばらく働いていたと聞いた、その後マザロットへの航路を買った、"" 彼は言う。""彼らも私が見たものを見てくれることを願っている。彼は不適格だ。""",lke_sedgeEnd1:続ける,
lkeSedgeEnd1,DialogOptionSelected,$option == lke_sedgeEnd1,"EndConversation DO_NOT_FIRE
ShowDefaultVisual
FireAll LKESedgeShootOptions","セッジが怒っているとあなたは確信するだろう。

""もう質問はない、"" 彼は吐き捨てる。""私たちは終わった。""

彼は去っていく。",,
lkeSedgeEndShootNo,LKESedgeShootOptions,,,,lke_sedgeEnd2:彼が去るのを見守る,
lkeSedgeEndShootA,LKESedgeShootOptions,$market.talkingAtBar,,,lke_sedgeEndBarShoot:彼を背後から撃つ,
lkeSedgeEndShootB1,LKESedgeShootOptions,"$market.talkingOutside
$market.lkePlayerKidnapped",,あなたは地面に自分のサイドアームを見つける、マモニットの冷却された体の隣に。,lke_sedgeEndShoot:サイドアームをつかんでセッジを背後から撃つ,
lkeSedgeEndShootB2,LKESedgeShootOptions,"$market.talkingOutside
!$market.lkePlayerKidnapped",,,lke_sedgeEndShoot:セッジを背後から撃つ,
lkeSedgeEndShootC,LKESedgeShootOptions,"$market.talkingOutside
$market.lkePlayerKidnapped",,,lke_sedgeEndGuardShoot:あなたの護衛の一人に彼を背後から撃たせる,
lkeSedgeEndBarShoot,DialogOptionSelected,$option == lke_sedgeEndBarShoot,"Call $global.lke_ref shootEm
Call $global.lke_ref endMusic","あなたは引き金を引き、発砲する。銃声が小さな空間に響き渡り、陶器が揺れる鋭い音がする。

セッジは肉の袋のように倒れる。

客からの叫び声と悲鳴が響く。混乱と逃走。部屋は空になり、店主はバーの後ろに身を隠す。",lke_sedgeEndShoot2:彼が死んでいるか確認する,
lkeSedgeEndBarShootB,DialogOptionSelected,"$option == lke_sedgeEndBarShoot
$global.sedgeSmashedTea","Call $global.lke_ref shootEm
Call $global.lke_ref endMusic","あなたは引き金を引き、発砲します。銃声が小さな空間に響き渡り、陶器が揺れます。

セッジは肉の袋のように崩れ落ちます。

店主はバーカウンターの後ろに身を隠し、裏口から逃げ出します。",lke_sedgeEndShoot2:彼が死んでいるか確認する,
lkeSedgeEndShoot,DialogOptionSelected,$option == lke_sedgeEndShoot,"Call $global.lke_ref shootEm
Call $global.lke_ref endMusic","あなたは引き金を引く。銃声が路地に響き渡り、鋭い音がする。

セッジは肉の袋のように倒れ込む。

反響する銃声の後に静寂が訪れ、彼の手下たちが現場から逃げ去る足音だけが聞こえる。",lke_sedgeEndShoot2:彼が死んでいるか確認する,
lkeSedgeEndGuardShoot,DialogOptionSelected,$option == lke_sedgeEndGuardShoot,"Call $global.lke_ref shootEm
Call $global.lke_ref endMusic","あなたは通信機に鋭い言葉を発し、数秒以内に反響する音が路地に響き渡る。

セッジは肉の袋のように倒れ込む。

彼の手下たちは姿を消す。最高の装備を持つあなたの警備員たちの戦術的な会話が、彼らの逃走を追跡する。",lke_sedgeEndShoot2:彼が死んでいるか確認する,
lkeSedgeEndShoot2bar,DialogOptionSelected,"$option == lke_sedgeEndShoot2
$market.talkingAtBar","$player.shotSedge = true
$player.killedSedge = true
Call $global.lke_ref resumeMusic
$player.ethosRuthless++","彼の視力のない目は、梁の上でゆっくり回転する紙のランタンを見上げ、温かく濁った光を放っている。

彼は微笑んでいる。そして、死んでいる。",lke_sedgeEndShootEnd:出る,
lkeSedgeEndShoot2outside,DialogOptionSelected,"$option == lke_sedgeEndShoot2
$market.talkingOutside","$player.shotSedge = true
$player.killedSedge = true
$player.shotSedgeOutside = true
Call $global.lke_ref resumeMusic
$player.ethosRuthless+++","彼の視力のない目は、半透明のテントを見上げ、雨のしずくが濁った光を歪めている。

彼は微笑んでいる。そして、死んでいる。",lke_sedgeEndShootEnd:出る,
lkeSedgeEndShootEnd,DialogOptionSelected,$option == lke_sedgeEndShootEnd,"$player.luddicAttitudePather--
AdjustRep luddic_path HOSTILE -50
FireAll PopulateOptions","彼の体を残して、あなたは$shipOrFleetに戻る。パスはそれをどうするか知っているだろう。

彼らは、もし以前に来なかったとしても、必ずあなたを追ってくるだろう。",,
lkeSedgeEnd2Inside,DialogOptionSelected,"$option == lke_sedgeEnd2
$market.talkingAtBar","Call $global.lke_ref resumeMusic
FireAll MostLuddicEthosRefresh
FireBest LKEsedgeContactCheck","サモワールを磨いているふりをしていた店主は、ほっとしたため息をつき、あなたに非難の目を向ける。あなたは、今後この店でのサービスが熱心ではないだろうと疑っている。

あなたには手がかりがある：マザロット。",lke_sedgeEndLeave:出る,
lkeSedgeEnd2Outside,DialogOptionSelected,"$option == lke_sedgeEnd2
$market.talkingOutside","Call $global.lke_ref resumeMusic
FireAll MostLuddicEthosRefresh
FireBest LKEsedgeContactCheck","セッジは横道に消え、彼の手下も一緒に消えた。あなたは、死体と共に傾斜のある路地に残されている。

そして手がかりがある：マザロット。",lke_sedgeEndLeave:出る,
lkeSedgeEnd2Leave,DialogOptionSelected,$option == lke_sedgeEndLeave,FireAll PopulateOptions,,,
lkeSedgeContactCheckA,LKEsedgeContactCheck,$player.mostLuddicEthosPather,"SetPersonHidden sedge false
AddPotentialContact sedge",,,
lkeSedgeContactCheckB,LKEsedgeContactCheck,$player.agreedWithSedgeTheology,"SetPersonHidden sedge false
AddPotentialContact sedge",,,
# LKE Pather intercept fleet,,# $lke_patherIntercept,,,,
lkePatherFleet,BeginFleetEncounter,"$lke_patherIntercept score:1000
!$lke_encounteredAlready
Call $global.lke_ref updateData","$lke_encounteredAlready = true
FleetDesc
HailPlayer",,,
